year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,08,RESIDENTIAL APARTMENTS,NEWTON ROAD,Yickvi Realty Pte Ltd,Non-Landed,CCR,10,0,0,0,0,0,-,-,-
2010,08,RHAPSODY ON MOUNT ELIZABETH,MOUNT ELIZABETH,Cairnhill Development Pte Ltd,Non-Landed,CCR,32,32,32,0,0,0,-,-,-
2010,08,RICCHEZZA,LORONG M TELOK KURAU,Bravo Building Construction Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2010,08,RIVERBAY,MAR THOMA ROAD,Green Bay Pte Ltd,Non-Landed,RCR,147,0,0,0,0,0,-,-,-
2010,08,RIVERIA GARDENS,RIVER VALLEY GROVE,I.Contemporary Living Pte Ltd,Non-Landed,CCR,49,35,26,9,0,0,-,-,-
2010,08,RIVERSIDE 48,ROBERTSON QUAY,Tuan Huat Development Pte Ltd,Non-Landed,CCR,70,70,59,11,0,0,-,-,-
2010,08,RIVIERA 38,MAR THOMA ROAD,Eastwood Green Pte Ltd,Non-Landed,RCR,102,0,0,0,0,0,-,-,-
2010,08,RIZ HAVEN,JALAN LOYANG BESAR,Tras Development Pte Ltd,Non-Landed,OCR,33,33,26,7,0,0,-,-,-
2010,08,ROCHELLE AT NEWTON,KENG LEE ROAD,Sim Lian (Keng Lee) Pte Ltd,Non-Landed,CCR,129,82,82,0,0,0,-,-,-
2010,08,ROSEWOOD SUITES,ROSEWOOD DRIVE,EL Development (Rosewood) Pte Ltd,Non-Landed,OCR,200,200,200,0,0,0,-,-,-
2010,08,RV EDGE,RIVER VALLEY ROAD,Fortune Estate Pte Ltd,Non-Landed,CCR,108,108,108,0,0,0,-,-,-
